ID,Title,Geek_Rating,Avg_Rating,Num_of_Voters,BGP_Price,Price,Year,Complexity,Min_Players,Max_Players,Min_Time,Max_Time,Min_Age,Type1,Type2
205896,Rising Sun,7.459,7.76,22546,99.99,100,2018,3.3,3,5,90,120,14,Strategy,
,Vinhos: Deluxe Edition,7.459,8.07,7566,,95.99,2016,4,1,4,90,180,12,Strategy,
,ISS Vanguard,7.448,8.44,6167,,159,2022,3.66,1,4,90,120,13,Thematic,
180263,The 7th Continent,7.448,7.75,22919,57.48,,2017,2.9,1,4,5,1000,14,Thematic,
196340,Yokohama,7.447,7.8,13051,44.97,40.26,2016,3.28,2,4,90,90,14,Strategy,
,Iberia,7.441,7.88,11445,,53.01,2016,2.6,2,5,45,45,8,Strategy,
233371,Clank! In! Space!: A Deck-Building Adventure,7.441,7.77,15526,49.98,92.51,2017,2.58,2,4,45,90,12,Family,Strategy
175155,Forbidden Stars,7.441,7.98,9738,62.34,,2015,3.84,2,4,120,180,14,Strategy,
254640,Just One,7.439,7.6,32238,19.99,,2018,1.04,3,7,20,60,8,Party,
178900,Codenames,7.437,7.53,99172,24.99,19.94,2015,1.26,2,8,15,15,10,Party,
,Nucleum,7.433,8.13,6929,,,2023,4.18,1,4,60,150,14,Strategy,
172287,Champions of Midgard,7.426,7.71,18322,41.97,49.99,2015,2.62,2,4,60,90,10,Strategy,
220877,Rajas of the Ganges,7.419,7.73,15339,41.99,44.75,2017,2.9,2,4,45,75,12,Strategy,
189932,Tyrants of the Underdark,7.418,7.91,10186,47.97,,2016,2.54,2,4,60,60,14,Strategy,
304783,Hadrian's Wall,7.418,7.9,9673,42.88,49.41,2021,3.17,1,6,30,60,12,Strategy,
266524,PARKS,7.416,7.64,28974,48.99,,2019,2.12,1,5,30,60,10,Family,
132531,Roll for the Galaxy,7.415,7.57,32942,44.97,44.99,2014,2.78,2,5,45,45,13,Strategy,
,Endeavor: Deep Sea,7.415,8.23,5747,,,2024,2.9,1,4,60,120,10,Strategy,
30549,Pandemic,7.414,7.52,131413,39.99,38.99,2008,2.4,2,4,45,45,8,Family,Strategy
463,Magic: The Gathering,7.41,7.59,41748,,75.88,1993,3.28,2,6,20,20,13,Customizable,
118048,Targi,7.41,7.6,25542,14.48,19.75,2012,2.34,2,2,60,60,12,Strategy,
147020,Star Realms,7.406,7.56,46827,12.75,17.84,2014,1.92,2,2,20,20,12,Strategy,
235802,Too Many Bones: Undertow,7.404,8.67,3754,99.95,109.95,2018,4.04,1,2,60,180,12,Strategy,Thematic
263918,Cartographers,7.402,7.57,33772,22.47,24.95,2019,1.87,1,100,30,45,10,Family,
262712,Res Arcana,7.402,7.63,24456,35.99,32.3,2019,2.65,2,4,30,60,12,Strategy,
14996,Ticket to Ride: Europe,7.401,7.53,81877,47.99,47.99,2005,1.92,2,5,30,60,8,Family,
161970,Alchemists,7.401,7.64,23844,49.99,65.79,2014,3.92,2,4,120,120,12,Strategy,
,Forest Shuffle,7.398,7.73,15502,,29.99,2023,2.21,2,5,40,60,10,Family,Strategy
,Planet Unknown,7.398,7.78,12141,,78.5,2022,2.25,1,6,60,80,10,Family,Strategy
274364,Watergate,7.397,7.74,13339,27.97,49.73,2019,2.27,2,2,30,60,12,Strategy,
271324,It's a Wonderful World,7.396,7.64,21687,60,49.99,2019,2.32,1,5,45,45,14,Strategy,
268864,Undaunted: Normandy,7.396,7.78,13336,34.47,33.6,2019,2.27,2,2,45,60,14,Wargames,
281259,The Isle of Cats,7.393,7.64,23956,34.97,52.89,2019,2.36,1,4,60,90,8,Family,Strategy
77423,The Lord of the Rings: The Card Game,7.389,7.66,24756,53.95,59.99,2011,3.22,1,2,30,60,13,Customizable,
34635,Stone Age,7.388,7.52,54693,43.99,54.99,2008,2.46,2,4,60,90,10,Family,Strategy
209418,Dominion (Second Edition),7.387,7.83,11754,33.97,39.99,2016,2.18,2,4,30,30,14,Strategy,
249259,War Chest,7.385,7.83,11592,39.99,48.44,2018,2.31,2,4,30,30,14,Abstract,
308765,Praga Caput Regni,7.384,7.86,9872,24.97,27.47,2020,3.73,1,4,45,150,14,Strategy,
328871,Terraforming Mars: Ares Expedition,7.381,7.65,19764,39.99,48.09,2021,2.92,1,4,45,60,14,Strategy,
127023,Kemet,7.381,7.63,19784,66.69,,2012,3,2,5,90,120,13,Strategy,
148949,Istanbul,7.379,7.54,32859,34.99,69.99,2014,2.58,2,5,40,60,10,Family,Strategy
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,7.378,7.61,22294,37.15,53.89,1981,2.66,1,8,60,120,13,Thematic,
294484,Unmatched: Cobble & Fog,7.376,7.94,8912,29.97,49.99,2020,1.97,2,4,20,40,9,Strategy,
233398,Endeavor: Age of Sail,7.375,7.86,10014,49.99,,2018,2.84,2,5,60,90,13,Strategy,
146652,Legendary Encounters: An Alien Deck Building Game,7.374,7.75,13510,51.38,,2014,2.7,1,5,30,60,17,Thematic,
296151,Viscounts of the West Kingdom,7.374,7.81,10865,38.99,34.97,2020,3.46,1,4,60,90,12,Strategy,
265188,Glen More II: Chronicles,7.374,7.88,9021,71.97,,2019,3.01,2,4,90,120,12,Strategy,
82222,Xia: Legends of a Drift System,7.374,7.86,10712,199.99,,2014,3.19,3,5,60,180,12,Strategy,Thematic
103885,Star Wars: X-Wing Miniatures Game,7.371,7.63,25348,31.99,59.99,2012,2.5,2,2,30,45,14,Customizable,Wargames
283948,Marco Polo II: In the Service of the Khan,7.371,7.93,7988,155.24,,2019,3.37,2,4,60,120,12,Strategy,
244522,That's Pretty Clever!,7.37,7.56,26558,24.29,19.99,2018,1.86,1,4,30,30,8,Family,
329082,Radlands,7.369,7.78,12857,18.99,24.95,2021,2.26,2,2,20,40,14,Strategy,
