Rank,BGGid,Name,Price
16156,19877,Beetlez,16
16167,209649,Aurimentic,54.03
16171,247860,Fleecing Olympus,16.99
16173,34009,Loopit,74.85
16174,31453,"Holy Roman Empire: Wars of the Reformation, 1524-38",40.46
16177,173344,Booze Barons,6.75
16182,26918,"Flintlock: Black Powder, Cold Steel -  Volume I: Carolina Rebels",49.92
16187,327549,Sweetlandia,12.45
16197,209893,"Go, Go Little Penguin",29.99
16200,4298,Beachhead: A Game of Island Invasions in the South Pacific,47.22
16202,295687,"Trust Me, I'm a Doctor",36.31
16206,233048,Zoomaka,17.6
16207,270501,Kawaii,11.99
16209,236459,Wulong,19.94
16211,4329,Drake & Drake,12.6
16212,25991,Manila '45: Stalingrad of the Pacific,33.71
16213,17962,Cranium Bumparena,14.35
16215,215065,75 Gnom' Street,54.03
16222,131304,Circus Grandioso,11.68
16223,199007,Adventure Time Card Wars: Doubles Tournament,28.53
16225,27388,Hop to It!,6.25
16226,109718,Hunting Party,43.37
16228,495,Time Pirates,22.95
16236,180340,Sirenen in Sicht,16.08
16237,76447,Five Fingered Severance,27
16240,178487,Bountytown,25.82
16243,219410,Wild Shots,10.5
16246,8001,"Tahiti:  Clan Warfare, Polynesia 750 AD",51.65
16249,245503,Abra Kazam!,18.29
16255,1336,Eden,20.66
16263,12372,Shakespeare: The Bard Game,10
16267,20851,WrestAngel,6.5
16280,55492,MegaCorps,19.99
16289,24189,Pustekuchen,24.31
16290,141087,Agora,12.62
16291,3046,"Red Sun/Red Star: The Nomonhan Campaign, 1939",16.14
16292,284111,Drinks & Daggers,30.73
16301,146388,Ender's Game: Battle School,24.32
16305,181615,Nitro Glyxerol,23.36
16310,65242,"Shiloh: Bloody April, 1862",26.95
16316,149112,Kill Shakespeare,14.82
16322,234977,Capo della Mafia,15.84
16324,35017,Chaos Isle: Zombi Deck,11.73
16327,149035,Old World New World,29.26
16339,147457,The Great Persuader,22.18
16340,3801,When Darkness Comes,58.69
16343,249289,Zogen,21.62
16345,5201,Trailblazer,9.39
16346,272325,Sprint!,11.28
16348,159003,Raid & Trade,30.97
16357,12856,Shove Ha'penny,34.95
16364,143250,Villainous Vikings,23.47
16365,190015,Cthulhu Tales,25.6
16373,245203,Stumblewood,33.16
16374,283746,Godzilla Card Game,28.99
16390,244911,Brainwaves: The Wise Whale,10.95
16391,156430,Agents Secrets,23.24
16413,281680,Beam me up,9.33
16414,283124,Kids Against Maturity,11.46
16425,192237,Specific,12.85
16429,37376,Gem Dealer,10.13
16432,802,Taipei: China Invades,43.17
16435,287304,15 Men,24
16438,17158,Dancing Dragons,10.45
16441,36649,Aquarium,19.95
16445,241489,Happy Bunny,14.99
16449,22753,Thing-a-ma-Bots,4.27
16452,166927,Crash Cup Karambolage,28
16453,6005,Korea: The Mobile War,20.2
